Rank,Release Group,Worldwide,Domestic,%,Foreign,%
181,The New Toy,"$6,714,575",-,-,"$6,714,575",100%
182,National Theatre Live: Prima Facie,"$6,582,752",-,-,"$6,582,752",100%
183,Phases of the Moon,"$6,496,062",-,-,"$6,496,062",100%
184,Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
185,"Farewell, Mr. Haffmann","$6,417,032",-,-,"$6,417,032",100%
186,Cyrano,"$6,396,686","$3,873,124",60.5%,"$2,523,562",39.5%
187,Marcel the Shell with Shoes On,"$6,336,735","$6,333,702",100%,"$3,033",<0.1%
188,Mascarade,"$6,292,730",-,-,"$6,292,730",100%
189,The Exorcism of God,"$6,102,053",-,-,"$6,102,053",100%
190,God's Crooked Lines,"$6,060,070",-,-,"$6,060,070",100%
191,Notre-Dame on Fire,"$6,059,320",-,-,"$6,059,320",100%
192,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
193,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
194,Jeepers Creepers: Reborn,"$5,954,938","$2,033,057",34.1%,"$3,921,881",65.9%
195,Last Seen Alive,"$5,950,199",-,-,"$5,950,199",100%
196,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
197,Maigret,"$5,800,151",-,-,"$5,800,151",100%
198,Goliath,"$5,797,270",-,-,"$5,797,270",100%
199,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
200,Fireheart,"$5,788,803","$49,848",0.9%,"$5,738,955",99.1%
