Rank,Release Group,Worldwide,Domestic,%,Foreign,%
38,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
39,"Lyle, Lyle, Crocodile","$87,875,466","$46,475,466",52.9%,"$41,400,000",47.1%
40,Don't Worry Darling,"$86,709,403","$45,309,403",52.3%,"$41,400,000",47.7%
41,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
42,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
43,Jackass Forever,"$80,483,993","$57,743,451",71.7%,"$22,740,542",28.3%
44,Avatar 2022 Re-release,"$75,520,575","$24,714,024",32.7%,"$50,806,551",67.3%
45,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
46,Interstellar 2021 Re-release,"$72,119,604",-,-,"$72,119,604",100%
47,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
48,Moonfall,"$67,294,611","$19,060,660",28.3%,"$48,233,951",71.7%
49,The Menu,"$64,573,550","$32,050,322",49.6%,"$32,523,228",50.4%
50,Suzume no tojimari,"$62,921,126",-,-,"$62,921,126",100%
51,Strange World,"$60,624,918","$33,788,315",55.7%,"$26,836,603",44.3%
52,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
53,Violent Night,"$55,173,750","$35,016,750",63.5%,"$20,157,000",36.5%
54,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
55,Ambulance,"$51,828,557","$22,309,115",43%,"$29,519,442",57%
56,Marry Me,"$50,456,742","$22,438,180",44.5%,"$28,018,562",55.5%
57,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
58,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
59,Prey for the Devil,"$42,868,097","$19,759,874",46.1%,"$23,108,223",53.9%
60,Paws of Fury: The Legend of Hank,"$41,673,213","$17,811,382",42.7%,"$23,861,831",57.3%
61,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
62,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
63,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
64,Hunt,"$33,800,203","$25,994",<0.1%,"$33,774,209",99.9%
65,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
66,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
67,Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
68,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
69,Tad the Lost Explorer and the Emerald Tablet,"$30,638,048","$67,599",0.2%,"$30,570,449",99.8%
70,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
71,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
72,Mrs. Harris Goes to Paris,"$28,760,297","$10,433,915",36.3%,"$18,326,382",63.7%
73,The 355,"$27,827,198","$14,570,455",52.4%,"$13,256,743",47.6%
74,Serial (Bad) Weddings 3,"$27,477,505",-,-,"$27,477,505",100%
75,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
76,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
77,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,102,370",-,-,"$23,102,370",100%
78,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
79,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
80,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
81,6/45,"$22,263,336",-,-,"$22,263,336",100%
82,The First Slam Dunk,"$22,228,272",-,-,"$22,228,272",100%
83,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
84,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
85,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
86,Silent Parade,"$21,721,302",-,-,"$21,721,302",100%
87,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
88,Decision to Leave,"$21,362,661","$1,994,838",9.3%,"$19,367,823",90.7%
89,Emergency Declaration,"$20,877,454","$412,196",2%,"$20,465,258",98%
90,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
91,Three Thousand Years of Longing,"$19,373,425","$8,286,741",42.8%,"$11,086,684",57.2%
92,Devotion,"$19,359,122","$18,616,143",96.2%,"$742,979",3.8%
93,After Ever Happy,"$19,153,708","$1,072,750",5.6%,"$18,080,958",94.4%
94,The Banshees of Inisherin,"$19,097,950","$8,792,183",46%,"$10,305,767",54%
95,Beast,"$18,911,959",-,-,"$18,911,959",100%
96,The Night Owl,"$18,877,147",-,-,"$18,877,147",100%
97,Godfather,"$18,737,287",-,-,"$18,737,287",100%
98,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
99,Die Schule der magischen Tiere 2,"$18,248,643",-,-,"$18,248,643",100%
100,November,"$17,732,724",-,-,"$17,732,724",100%
101,Fall,"$17,402,407","$7,240,521",41.6%,"$10,161,886",58.4%
102,The Quintessential Quintuplets Movie,"$17,286,155","$502,000",2.9%,"$16,784,155",97.1%
103,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
104,Simone: Woman of the Century,"$16,632,904",-,-,"$16,632,904",100%
105,Triangle of Sadness,"$16,489,177","$4,034,206",24.5%,"$12,454,971",75.5%
106,Father There Is Only One 3,"$16,112,265",-,-,"$16,112,265",100%
107,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
108,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
109,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
110,Roald Dahl's Matilda the Musical,"$15,600,000",-,-,"$15,600,000",100%
111,Maison de retraite,"$15,567,804",-,-,"$15,567,804",100%
112,Broker,"$15,541,233",-,-,"$15,541,233",100%
113,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
114,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
115,Firestarter,"$14,889,250","$9,589,250",64.4%,"$5,300,000",35.6%
116,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
117,X,"$14,779,858","$11,765,309",79.6%,"$3,014,549",20.4%
118,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
119,Bros,"$14,764,156","$11,628,165",78.8%,"$3,135,991",21.2%
120,Land of Legends,"$14,712,519",-,-,"$14,712,519",100%
121,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%
122,The Duke,"$14,222,161","$1,526,970",10.7%,"$12,695,191",89.3%
123,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
124,Bones and All,"$14,063,873","$7,763,873",55.2%,"$6,300,000",44.8%
125,Bodies Bodies Bodies,"$13,904,634","$11,446,602",82.3%,"$2,458,032",17.7%
126,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
127,Puss in Boots: The Last Wish,"$13,688,000",-,-,"$13,688,000",100%
128,Glass Onion: A Knives Out Mystery,"$13,280,000","$13,280,000",100%,-,-
129,Valimai,"$13,276,393",-,-,"$13,276,393",100%
130,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
131,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
132,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
133,Moonage Daydream,"$12,201,925","$4,218,925",34.6%,"$7,983,000",65.4%
134,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
135,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
136,Terrifier 2,"$11,923,548","$10,640,105",89.2%,"$1,283,443",10.8%
137,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
138,Bergen,"$11,325,405",-,-,"$11,325,405",100%
139,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
140,She Said,"$10,645,198","$5,806,000",54.5%,"$4,839,198",45.5%
141,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
142,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
143,Chickenhare and the Hamster of Darkness,"$10,335,278",-,-,"$10,335,278",100%
144,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
145,Rise,"$10,179,767",-,-,"$10,179,767",100%
146,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
147,Table for Six,"$10,139,932",-,-,"$10,139,932",100%
148,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
149,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
150,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
151,Rheingold,"$9,598,008",-,-,"$9,598,008",100%
152,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
153,"Good Luck to You, Leo Grande","$9,499,626",-,-,"$9,499,626",100%
154,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
155,Pearl,"$9,423,445","$9,423,445",100%,-,-
156,Even if This Love Disappears from the World Tonight,"$9,190,731",-,-,"$9,190,731",100%
157,Till,"$9,000,202","$9,000,202",100%,-,-
158,The Fabelmans,"$8,764,855","$8,659,666",98.8%,"$105,189",1.2%
159,Sword Art Online: Progressive - Scherzo of Deep Night,"$8,599,620",-,-,"$8,599,620",100%
160,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
161,Don,"$8,287,406",-,-,"$8,287,406",100%
162,Life Is Beautiful,"$8,238,901",-,-,"$8,238,901",100%
163,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
164,Karada Sagashi,"$8,166,175",-,-,"$8,166,175",100%
165,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
166,Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
167,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
168,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
169,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
170,How About Adolf?,"$7,330,755",-,-,"$7,330,755",100%
171,Finnick,"$7,323,497",-,-,"$7,323,497",100%
172,Laid-Back Camp: The Movie,"$7,317,913",-,-,"$7,317,913",100%
173,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
174,Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
175,Chempion mira,"$6,947,138",-,-,"$6,947,138",100%
176,Decibel,"$6,912,421","$58,529",0.8%,"$6,853,892",99.2%
177,Menteur 2022 Re-release,"$6,899,633",-,-,"$6,899,633",100%
178,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$6,759,736",-,-,"$6,759,736",100%
179,Rabbit Academy,"$6,744,299",-,-,"$6,744,299",100%
180,The New Toy,"$6,714,575",-,-,"$6,714,575",100%
181,Listy do M. 5,"$6,631,707",-,-,"$6,631,707",100%
182,National Theatre Live: Prima Facie,"$6,589,376",-,-,"$6,589,376",100%
183,Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
184,"Farewell, Mr. Haffmann","$6,417,032",-,-,"$6,417,032",100%
185,Cyrano,"$6,396,655","$3,873,124",60.5%,"$2,523,531",39.5%
186,Marcel the Shell with Shoes On,"$6,336,735","$6,333,702",100%,"$3,033",<0.1%
187,Mascarade,"$6,292,730",-,-,"$6,292,730",100%
188,The Exorcism of God,"$6,102,053",-,-,"$6,102,053",100%
189,Notre-Dame on Fire,"$6,059,297",-,-,"$6,059,297",100%
190,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
191,God's Crooked Lines,"$6,028,103",-,-,"$6,028,103",100%
192,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
193,Last Seen Alive,"$5,950,199",-,-,"$5,950,199",100%
194,Jeepers Creepers: Reborn,"$5,880,205","$2,033,057",34.6%,"$3,847,148",65.4%
195,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
196,Maigret,"$5,800,151",-,-,"$5,800,151",100%
197,Goliath,"$5,797,270",-,-,"$5,797,270",100%
198,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
199,Fireheart,"$5,788,434","$49,848",0.9%,"$5,738,586",99.1%
200,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
